Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
474,Alberto Árias,24,2TM,NL,0.3,1,1,.500,4.15,15,2,4,0,0,0,21.2,23,10,10,1,10,0,13,2,0,1,95,112,4.19,1.523,9.6,0.4,4.2,5.4,1.30,,ariasal02
474,Alberto Árias,24,COL,NL,0.4,0,0,,2.63,12,0,4,0,0,0,13.2,12,4,4,1,4,0,5,1,0,1,56,182,4.45,1.171,7.9,0.7,2.6,3.3,1.25,,ariasal02
474,Alberto Árias,24,HOU,NL,-0.1,1,1,.500,6.75,3,2,0,0,0,0,8.0,11,6,6,0,6,0,8,1,0,0,39,65,3.76,2.125,12.4,0.0,6.8,9.0,1.33,,ariasal02
475,Wade LeBlanc*,23,SDP,NL,-0.6,1,3,.250,8.02,5,4,0,0,0,0,21.1,29,19,19,7,15,2,14,0,0,0,104,48,8.19,2.063,12.2,3.0,6.3,5.9,0.93,,leblawa01
476,Adam Loewen*,24,BAL,AL,-0.5,0,2,.000,8.02,7,4,0,0,0,0,21.1,25,19,19,5,18,0,14,0,0,2,102,56,7.40,2.016,10.5,2.1,7.6,5.9,0.78,,loewead01
477,Clay Rapada*,27,DET,AL,0.3,3,0,1.000,4.22,25,0,3,0,0,0,21.1,19,11,10,0,14,1,15,1,0,1,94,107,3.84,1.547,8.0,0.0,5.9,6.3,1.07,,rapadcl01
478,Matt Ginter,30,CLE,AL,0.1,1,3,.250,5.14,4,4,0,0,0,0,21.0,25,12,12,3,3,1,12,0,0,2,87,84,4.27,1.333,10.7,1.3,1.3,5.1,4.00,,gintema01
479,Chris Lambert,25,DET,AL,-0.4,1,2,.333,5.66,8,3,1,0,0,0,20.2,31,18,13,3,7,1,15,2,0,0,102,80,4.87,1.839,13.5,1.3,3.0,6.5,2.14,,lambech01
480,Shairon Martis,21,WSN,NL,-0.1,1,3,.250,5.66,5,4,0,0,0,0,20.2,18,14,13,5,12,0,23,0,0,1,92,77,5.79,1.452,7.8,2.2,5.2,10.0,1.92,,martish01
481,Osiris Matos,23,SFG,NL,-0.3,1,2,.333,4.79,20,0,5,0,0,0,20.2,26,17,11,3,9,1,16,1,0,0,98,93,4.92,1.694,11.3,1.3,3.9,7.0,1.78,,matosos01
482,Tom Mastny,27,CLE,AL,-1.0,2,2,.500,10.80,14,1,4,0,0,0,20.0,28,24,24,6,11,2,19,0,0,0,100,40,6.78,1.950,12.6,2.7,5.0,8.6,1.73,,mastnto01
483,Rich Hill*,28,CHC,NL,0.5,1,0,1.000,4.12,5,5,0,0,0,0,19.2,13,9,9,2,18,0,15,1,0,1,89,112,5.83,1.576,5.9,0.9,8.2,6.9,0.83,,hillri01
484,Brandon Medders,28,ARI,NL,0.1,1,0,1.000,4.58,18,0,3,0,0,0,19.2,17,11,10,2,11,2,8,2,0,1,88,102,5.62,1.424,7.8,0.9,5.0,3.7,0.73,,meddebr01
485,Ehren Wassermann,27,CHW,AL,-0.6,1,2,.333,7.78,24,0,6,0,0,0,19.2,27,19,17,0,14,4,9,1,0,1,101,60,4.50,2.085,12.4,0.0,6.4,4.1,0.64,,wasseeh01
486,Runelvys Hernández,30,HOU,NL,-0.6,0,3,.000,8.38,4,4,0,0,0,0,19.1,32,19,18,4,11,1,15,0,0,0,98,51,5.98,2.224,14.9,1.9,5.1,7.0,1.36,,hernaru03
487,Mark DiFelice,31,MIL,NL,0.3,1,0,1.000,2.84,15,0,5,0,0,0,19.0,17,7,6,4,4,0,20,0,0,1,78,151,4.40,1.105,8.1,1.9,1.9,9.5,5.00,,difelma01
488,Jake Woods*,26,SEA,AL,-0.1,0,0,,6.16,15,0,3,0,0,0,19.0,22,13,13,5,11,2,9,1,1,2,87,70,7.50,1.737,10.4,2.4,5.2,4.3,0.82,,woodsja01
489,Yoslán Herrera,27,PIT,NL,-0.7,1,1,.500,9.82,5,5,0,0,0,0,18.1,35,20,20,1,12,0,10,1,0,1,100,43,4.88,2.564,17.2,0.5,5.9,4.9,0.83,,herreyo01
490,Chris Resop,25,ATL,NL,-0.2,0,1,.000,5.89,16,0,9,0,0,0,18.1,16,12,12,2,10,2,13,2,0,0,82,72,5.10,1.418,7.9,1.0,4.9,6.4,1.30,,resopch01
491,Chris Smith,27,BOS,AL,-0.3,1,0,1.000,7.85,12,0,3,0,0,0,18.1,18,16,16,6,7,0,13,0,0,0,78,60,7.11,1.364,8.8,2.9,3.4,6.4,1.86,,smithch08
492,Wes Littleton,25,TEX,AL,-0.1,0,0,,6.00,12,0,4,0,0,0,18.0,18,12,12,1,8,0,14,3,0,0,80,75,4.13,1.444,9.0,0.5,4.0,7.0,1.75,,littlwe01
493,Chad Reineke,26,SDP,NL,0.0,2,1,.667,5.00,4,3,1,0,0,0,18.0,14,10,10,1,12,1,13,0,0,0,78,77,4.41,1.444,7.0,0.5,6.0,6.5,1.08,,reinech01
494,Bobby Korecky,28,MIN,AL,0.2,2,0,1.000,4.58,16,0,9,0,0,0,17.2,19,9,9,2,8,0,6,0,0,0,74,93,5.28,1.528,9.7,1.0,4.1,3.1,0.75,,korecbo01
495,Taylor Tankersley*,25,FLA,NL,-0.8,0,1,.000,8.15,25,0,3,0,0,0,17.2,22,16,16,6,8,0,13,1,0,3,84,54,7.60,1.698,11.2,3.1,4.1,6.6,1.63,,tanketa01
496,Rocky Cherry,28,BAL,AL,-0.6,0,3,.000,6.35,18,0,4,0,0,1,17.0,15,15,12,3,16,3,15,1,0,4,85,71,6.66,1.824,7.9,1.6,8.5,7.9,0.94,,cherrro01
497,Mike MacDougal,31,CHW,AL,0.6,0,0,,2.12,16,0,8,0,0,0,17.0,16,4,4,0,12,2,12,2,1,4,78,220,4.19,1.647,8.5,0.0,6.4,6.4,1.00,,macdomi01
498,Marino Salas,26,PIT,NL,-0.4,1,0,1.000,8.47,13,0,4,0,0,0,17.0,25,16,16,4,14,3,9,2,0,4,88,50,7.96,2.294,13.2,2.1,7.4,4.8,0.64,,salasma02
499,Joe Borowski,37,CLE,AL,-0.7,1,3,.250,7.56,18,0,14,0,0,6,16.2,24,14,14,4,8,2,9,0,0,0,82,57,6.61,1.920,13.0,2.2,4.3,4.9,1.13,,borowjo01
500,Dirk Hayhurst,27,SDP,NL,-0.8,0,2,.000,9.72,10,3,3,0,0,0,16.2,27,18,18,2,10,1,14,0,0,4,84,40,4.81,2.220,14.6,1.1,5.4,7.6,1.40,,hayhudi01
501,Billy Traber*,28,NYY,AL,-0.2,0,0,,7.02,19,0,3,0,0,0,16.2,23,13,13,3,7,1,11,2,0,2,80,64,5.77,1.800,12.4,1.6,3.8,5.9,1.57,,trabebi01
502,Chris Bootcheck,29,LAA,AL,-0.7,0,1,.000,10.13,10,0,4,0,0,0,16.0,30,18,18,2,12,0,14,0,0,2,90,45,5.26,2.625,16.9,1.1,6.8,7.9,1.17,,bootcch01
503,Jason Bulger,29,LAA,AL,-0.2,0,0,,7.31,14,0,7,0,0,0,16.0,15,13,13,3,9,0,20,2,0,0,73,62,5.13,1.500,8.4,1.7,5.1,11.3,2.22,,bulgeja01
504,Geno Espineli*,25,SFG,NL,0.0,2,0,1.000,5.06,15,0,5,0,0,0,16.0,17,10,9,5,8,2,8,0,0,2,69,88,7.69,1.563,9.6,2.8,4.5,4.5,1.00,,espinge01
505,Jaime García*,21,STL,NL,-0.2,1,1,.500,5.63,10,1,4,0,0,0,16.0,14,10,10,4,8,0,8,1,0,3,69,77,7.07,1.375,7.9,2.3,4.5,4.5,1.00,,garcija02
506,Shane Loux,28,LAA,AL,0.3,0,0,,2.81,7,0,5,0,0,0,16.0,16,6,5,1,2,0,4,2,0,0,66,161,4.19,1.125,9.0,0.6,1.1,2.3,2.00,,louxsh01
507,Jeff Niemann,25,TBR,AL,-0.2,2,2,.500,5.06,5,2,2,0,0,0,16.0,18,12,9,3,8,0,14,1,0,0,76,89,5.51,1.625,10.1,1.7,4.5,7.9,1.75,,niemaje01
508,Merkin Valdéz,26,SFG,NL,0.4,1,0,1.000,1.69,17,1,3,0,0,0,16.0,14,5,3,1,7,2,13,2,1,2,69,265,4.01,1.313,7.9,0.6,3.9,7.3,1.86,,valdeme01
509,Josh Newman*,26,2TM,2LG,-0.5,0,0,,8.62,12,0,6,0,0,0,15.2,25,18,15,4,12,1,8,2,1,0,84,55,8.11,2.362,14.4,2.3,6.9,4.6,0.67,,newmajo01
509,Josh Newman*,26,COL,NL,-0.2,0,0,,9.35,8,0,3,0,0,0,8.2,15,9,9,3,6,1,6,2,1,0,49,52,9.02,2.423,15.6,3.1,6.2,6.2,1.00,,newmajo01
509,Josh Newman*,26,KCR,AL,-0.3,0,0,,7.71,4,0,3,0,0,0,7.0,10,9,6,1,6,0,2,0,0,0,35,59,6.99,2.286,12.9,1.3,7.7,2.6,0.33,,newmajo01
510,Chris Carpenter,33,STL,NL,0.4,0,1,.000,1.76,4,3,0,0,0,0,15.1,16,5,3,0,4,0,7,0,0,0,63,245,3.00,1.304,9.4,0.0,2.3,4.1,1.75,,carpech01
511,Scott Elarton,32,CLE,AL,0.1,0,1,.000,3.52,8,0,4,0,0,0,15.1,16,7,6,0,9,2,15,0,0,2,70,123,2.94,1.630,9.4,0.0,5.3,8.8,1.67,,elartsc01
512,Jesse Chavez,24,PIT,NL,-0.3,0,1,.000,6.60,15,0,6,0,0,0,15.0,20,11,11,2,9,2,16,0,0,2,74,65,4.53,1.933,12.0,1.2,5.4,9.6,1.78,,chaveje01
513,Freddy García,31,DET,AL,0.3,1,1,.500,4.20,3,3,0,0,0,0,15.0,11,8,7,3,6,0,12,1,0,0,61,108,5.53,1.133,6.6,1.8,3.6,7.2,2.00,,garcifr03
514,Bryan Bullington,27,CLE,AL,0.0,0,2,.000,4.91,3,2,0,0,0,0,14.2,15,9,8,4,2,0,12,1,0,1,60,88,5.65,1.159,9.2,2.5,1.2,7.4,6.00,,bullibr01
515,Phil Coke*,25,NYY,AL,0.8,1,0,1.000,0.61,12,0,0,0,0,0,14.2,8,1,1,0,2,0,14,0,0,1,52,734,1.63,0.682,4.9,0.0,1.2,8.6,7.00,,cokeph01
516,Scott Dohmann,30,TBR,AL,-0.2,2,0,1.000,6.14,12,0,6,0,0,0,14.2,18,10,10,2,7,1,12,0,0,0,66,73,4.70,1.705,11.0,1.2,4.3,7.4,1.71,,dohmasc01
517,Tim Dillard,24,MIL,NL,-0.3,0,0,,4.40,13,0,5,0,0,0,14.1,17,12,7,2,6,2,5,0,0,1,65,98,5.50,1.605,10.7,1.3,3.8,3.1,0.83,,dillati01
518,Daryl Thompson,22,CIN,NL,-0.1,0,2,.000,6.91,3,3,0,0,0,0,14.1,20,11,11,3,7,0,6,1,1,1,69,65,6.69,1.884,12.6,1.9,4.4,3.8,0.86,,thompda02
