"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Sears, JP","676664","92.2","90.4","88","80.7","83.4","79.5",,,"79.2",
"Ober, Bailey","641927","90.3","90.3",,"83.7","83.3","75.1",,,"78.4",
"Mize, Casey","663554","94.6","94.8",,"88.2",,,"88.6",,,"83.6"
"Anderson, Tyler","542881","89.3","88.5","84.4","80.7","78.7","69.2",,,,
"Lorenzen, Michael","547179","93.9","92.9","90.2","85.2","83.7","82.2",,,"82.3",
"Rasmussen, Drew","656876","95.8","95.4","90.3","84.6","89.4","80.4",,,"84.6",
"Martin, Davis","663436","94","93","90","88.1","90.2","78.8",,,"83.4",
"Senzatela, Antonio","622608","95","92.2","91.2","86.8","87.6","80.4",,,,
"Bradley, Taj","671737","96.2","96","89.6",,,"81.8","91.2",,,
"Cabrera, Edward","665795","97","96.9",,"88.5","94.2","84",,,,
"Buehler, Walker","621111","94","93.8","90.6","87.5","89.7","77.4",,,"80.9",
"Imanaga, Shota","684007","90.8","88.2",,"81.7",,"71.6","83",,"80.3",
"Quintana, Jose","500779","90.4","90.5",,,"85.6","78.2",,,,"78.5"
"May, Dustin","669160","95.4","94.5","91.4",,"89.4",,,,"85.2",
"Cameron, Noah","702070","92.3",,"88.2","84.1","81.3","80.9",,,,
"Gilbert, Logan","669302","95.4","94.9",,"87.5",,"82.1","81.8",,,
"Vásquez, Randy","681190","93.5","93.1","90.2","85.8","86.9","81.2",,,"82.1",
"Lord, Brad","695418","94.8","94.3",,"85.5","85.9",,,,"82.3",
"Strider, Spencer","675911","95.5",,,"84.1","85.9","78.4",,,,
"Kirby, George","669923","96.1","96.3",,,"87.8","84.3","86",,"87.1",
"Márquez, Germán","608566","94.8","94.2",,"88.8","88.5","85.5",,,,
"Heaney, Andrew","571760","90.1","89.2",,"80.5","82","75.2",,,,
"Cecconi, Slade","677944","94.3","93.6","88.8","84.2","84.3","75.5",,,"83.6",
"Walker, Taijuan","592836","92.2","92","87.1","83.6",,"74.9","87.4",,,
"Sale, Chris","519242","94.8","94",,"79.1","86.8",,,,,
"Patrick, Chad","694477","94.2","94.1","87.9","84.2","88.7",,,,,"85.8"
"Quantrill, Cal","615698","93.7","93.7","88.9","85","87.8","79.9","86.3",,,
"Taillon, Jameson","592791","92.3","92.3","85.8",,"84","79.7",,,"80.2",
"Povich, Cade","700249","92.2","91.9","91.5","83.9","83.6","78.9",,,"82.7",
"Holmes, Grant","656550","94.5","93.9","92.1","85.4","90.2","83.5",,,,
"Falter, Bailey","663559","92.1","92.2",,"85.1",,"77.8","85.3",,,"80.2"
"Eovaldi, Nathan","543135","94.1","93.3","90.5","85.7",,"75.8","87.6",,,
"Senga, Kodai","673540","94.7","88.6","89.6","83.7",,"68.5",,,"80",
"Houser, Adrian","605288","95.3","94.4",,"88.1","85.8","81.7",,,,
"Woods Richardson, Simeon","680573","93.2",,,"85.5","83.2","77.9","86.1",,,
"Kochanowicz, Jack","686799","95.5","95.5",,"87.3","89.9",,,,"82.4",
"Roupp, Landen","694738","93.1","92.8","90.3",,"86.6","76.7",,,,
"Wentz, Joey","666214","93.4",,"86.8","84.9","86","79.2",,,,
"Bubic, Kris","663460","92.1","91.6",,"85.4","85.5",,,,"82.9",
"Cannon, Jonathan","686563","93.8","93","89.3","87","85.6",,,,"81.6",
"Horton, Cade","690990","95.7","95.1",,"83.2","88","83.9",,,"83.4",
"Dollander, Chase","801403","98","97.2",,"89.6","89.3","79.2",,,,
"Kershaw, Clayton","477132","89","89.4",,"85.7",,"72.3","83.1",,,
"Gusto, Ryan","687473","94.1","93.5","89.1",,"87.3","80.3",,,"82.4",
"Brown, Ben","676962","95.8",,,,"90.5","87.2",,,,
"Greene, Hunter","668881","99.5",,,"89.7",,"84","88.4",,,
"Civale, Aaron","650644","92.1","92.3","89.2","83.3",,"77.7","85.7",,"80.7",
"Kolek, Stephen","663568","94","93.6","90.5","85.4","87.5","78.6",,,"82.5",
"Lauer, Eric","641778","91.7","91.9","86.4","83.2","85","75",,,,
"Pérez, Eury","691587","97.9","96.5","84","86.1","89.7","79.9",,,"82.8",
"Lopez, Jacob","682052","90.8","90.2","87.6","78.1","82.8",,,,,
"Mlodzinski, Carmen","669387","96.1","95.9","93.3","88.7",,"84.8","87.6",,"84",
"Vasil, Mike","678024","94.6","94.4","86.1",,"86.6","81.7",,,"81.7",
"Cantillo, Joey","676282","91.7",,,"85.1","78.3","77.3",,,,
"Rogers, Trevor","669432","93","92.8","81.2",,"86.2",,,,"78.3",
"Junk, Janson","676083","93.6",,,"87","88.1","81.9",,,"82",
"Alexander, Tyler","641302","90.8","90.5","86.9",,"83.3",,,,"80.2",
"Ginn, J.T.","669372",,"93.4","92","86.1","88.5",,,,,
"Schwellenbach, Spencer","680885","97.1","95.6","94.1","87",,"81","84.7",,,
"Nola, Aaron","605400","91.9","90.7","86.2",,"84.9","78.2",,,,
"Newcomb, Sean","656794","93.3","92.5","89.4",,"85.3","79.1",,,,"82"
"Miller, Bryce","682243","94.8","94.5","89.8","85.7",,"83.4","83.9",,"82.9",
"Burrows, Mike","681347","95.5","95.7",,"87.3","87.3","78.5",,,,
"Soroka, Michael","647336","93.6","93.2",,,"84.3",,,,,"80.4"
"Ortiz, Luis","682847","96.4","95.5","91.1","85.5","89.4",,,,,
"Glasnow, Tyler","607192","95.7","96",,"89.3",,"82",,,,
"Montero, Keider","672456","93.9","93.7",,"84.1","86.8","79",,,"83.7",
"McGreevy, Michael","700241","93","91.7","88.6","84","88","79.6",,,"83.7",
"Gordon, Colton","676467","91.1","91.5",,"84.3","83.9","75.6",,,"80.6",
"Williams, Trevor","592866","87.7","86.7",,"80.7","81.3",,,,"76.8",
"Hancock, Emerson","676106","94.9","94.7","85.5","81.8","86.5",,,,"78.9",
"Scherzer, Max","453286","93.6",,"88","86.4","84.9","76.7",,,,
"Latz, Jacob","656641","94.2",,,"84.4","84.7","78.3",,,,
"Mahle, Tyler","641816","92",,"85.4","83.5",,,"84.1",,,
"Bido, Osvaldo","674370","94.5","94.7","86.6","85.2","88.8",,,,,
"Matthews, Zebby","805673","96.2","95.8","91.7","88.3","87.5","82.8",,,,
"Spence, Mitch","687765",,"92.7","91.1","84.5","87.9","81.8",,,,
"Leahy, Kyle","681517","95.4","95.3",,"91.1","90.3","83.6",,,"86.7",
"Canning, Griffin","656288","94.1",,"89.6","87.7","89.5","81.3",,,"86.3",
"Rutledge, Jackson","671131","95.6","95.2","89","85.3",,,"85.2",,,
"Evans, Logan","688138","92.8","92.9","87.8",,"87.3","81.6",,,"84.1",
"Bellozo, Valente","678368","90.8",,"84.6",,"81.5","76.4","80.4",,"78.7",
"Bergert, Ryan","686701","93.4","92.5",,"87.4","87.6","82.5",,,"82.6",
"Bivens, Spencer","702352","95.2","94.8","91",,"88.5",,,,"83.1","79.9"
"Herget, Jimmy","623474","93","92",,"85.5","86.6","81.2",,,"77.8",
"Barlow, Scott","605130","92.3","92.5",,"84.3","86.1","78.4",,,"81.5",
"Casparius, Ben","676508","96.2","95.2","92.1",,,"80.8",,,"85.3",
"López, Pablo","641154","94.5","93.7",,,"87.4","82.7",,,"84.9",
"Schlittler, Cam","693645","98","97.6","92","90",,"83.3",,,"87.9",
"Alexander, Jason","669920","91.9","90.9","87.2","82.4","80.3",,,,"78.5",
"Gordon, Tanner","685299","92.3",,,"84.2","83.2","79.7",,,,
"Little, Brendon","663893",,"93.4","93.4",,,"87",,,,
"Estrada, Jeremiah","669093","97.9",,,"88.5",,,"83.7",,,
"Megill, Tylor","656731","95.4","94.2",,"83.9","88.2","80.4",,,"83.2",
"Santillan, Tony","663574","96.3",,,"86.5","95.1",,,,,"86.1"
"Schmidt, Clarke","657376","94.3","92.6","92.2","85.3",,"85",,,"83.1",
"Kinley, Tyler","641755","95.1",,,"87.4","87.1","83.6",,,,
"Bazardo, Eduard","660825","94.8","95.5","88.2",,,,"90.2",,"82.5",
"King, Michael","650633","93.7","92.7",,"83.8","86.8",,,,"82.3",
"Eisert, Brandon","685126","89.7","88",,"85.1","83.6",,,,,
"Uceta, Edwin","670955","94","94","89.4",,"88.4",,,,"82.1",
"Ferrer, José A.","678606","97.9","97.7",,"89.7","87.8",,,,,
"Hicks, Jordan","663855","97.4","97.5",,"84.3",,,"89.2",,"82.5",
"Birdsong, Hayden","806185","95.5",,,"88.9","88.7","80.3",,,,"84.7"
"Abreu, Bryan","650556","97.3","96",,"86.5","91.2",,,,,
"Smith, Cade","671922","96.4",,,,,,"87.6",,"85.1",
"Whitlock, Garrett","676477",,"95.8",,"84.6","84.3",,,,"81.8",
"Uribe, Abner","682842","99.8","98.7",,"87.3",,,,,,
"Misiorowski, Jacob","694819","99.3",,,"94.1","92.3","87.1",,,,
"Olson, Reese","681857","94.3","94.4",,"84.3","87.7","79.7",,,"82.5",
"Holton, Tyler","663947","92","91.4","88.7",,"84.6","80.4",,,"81.4",
