Year,TotalPitchers,AverageIP,AverageAge
2008,651,66.6,28.2
2009,664,65.2,28.1
2010,635,68.2,28.0
2011,662,65.8,27.8
2012,662,65.5,28.0
2013,679,64.3,27.9
2014,692,63.0,27.9
2015,735,59.1,28.0
2016,742,58.4,27.8
2017,755,57.3,27.9
2018,799,54.4,27.8
2019,831,52.3,27.9
2020,735,21.0,27.9
2021,909,46.9,28.3
2022,871,49.5,28.4
2023,863,49.9,28.5
2024,855,50.4,28.6
2025,873,49.3,28.8
