"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Verlander, Justin","434378","96.3",,,"88.4","84.6","80.7",,,,
"Hernández, Félix","433587","95.1","94.6","94.8","87.1","89.9","82.4",,,,
"Wainwright, Adam","425794","90.9","91.5","85.8",,"82.4","74.6",,,,
"Sabathia, CC","282332","95","94.4",,"81.8","87.1","77.2",,,,
"Lee, Cliff","424324","91.5","91.9","86.5","79.9","84.5","76.3",,,,
"Davis, Doug","150277","85.4","86.7","83.2","68.9","78.8","69.6",,,,
"Greinke, Zack","425844","94.4","94.3","89.5","86.1","84.4","72.5",,,,
"Jackson, Edwin","429719","95.2","95.4",,"87.1","86.1","80.9",,,,
"Haren, Dan","429717","91.1","91.3","87",,,"78.6","85.8",,,
"Jiménez, Ubaldo","434622","96.8","96.7","94.9","87","87.4","78.2","88.9",,,
"Lincecum, Tim","453311","93","93",,"82.4","83.8","77.2",,,,
"Garza, Matt","490063","93.6","93.3",,"86","84.3","75.7",,,,
"Halladay, Roy","136880",,"93.6","91.9",,"85.9","79.1","57.8",,,
"Lester, Jon","452657","94.8","93.1","89.6",,"86.2","78.8",,,,
"Burnett, A.J.","150359","94.9","94.8",,,"88.3","82.5",,,,
"Weaver, Jered","450308","89.5","89","88.7","78.8","80.7","71.9",,,,
"Arroyo, Bronson","276520","89.1","88.5","85.4","75.4","79.9","69.7","79.2",,,
"Beckett, Josh","277417","95","94.9","92.1",,"89.5","77.9",,,,
"Guthrie, Jeremy","425386","93.1","93.1","92.6","84.1","84.9","73.3",,,,
"Rodriguez, Wandy","434643","91","90.4","90.6",,"84.6","77.5",,,,
"Vazquez, Javier","134320","91.5","91.5",,"83.9","79.8","73.1",,,,
"Shields, James","448306","91","91","86.7",,"82.3","77.1",,,,
"Jurrjens, Jair","457453","91.7","92.2","93.2","80.5","83.1",,,,,
"Cain, Matt","430912","93.2","93.1",,"86.7","86.9","76.1",,,,
"Wolf, Randy","150116","89.7","89.3","89.5","80.8","79","67.6",,,,
"Johnson, Josh","435178","95.7","95.7",,"87.5","88.4","82.4",,,,
"Looper, Braden","131702","90","90",,"85.1","83.6",,"83.2",,,
"Pettitte, Andy","120485","89.7","89.4","89.3","84.2","81.1","75.7",,,,
"Garland, Jon","279782","89.8","90.2","88.2","85.1","80.5","76.6",,,,
"Blanton, Joe","430599","90.3","89.9","85.5","83","83.1","75.6",,,,
"Marquis, Jason","150302",,"90.9",,"85.5","83.3","76.3",,,,
"Billingsley, Chad","451532","92.3","91","88.5","79.9","85.8","71",,,,
"Buehrle, Mark","279824","86.1","85.3","81.8","81.9","79.1","70.8",,,,
"Lowe, Derek","117955",,"89.2","86.8","82.1","84.6",,,,,
"Baker, Scott","435044","92","91.7",,"82.3","83.9",,,,,
"Danks, John","433579","91","91","86.8",,"82.8","76.9",,,,
"Zito, Barry","217096","87.1","87.1","80.4","78.6","73.9","73.5",,,,
"Feldman, Scott","444857","91.9","92.2","90.8",,"84.1","77.4",,,,
"Gallardo, Yovani","451596","92.9","93",,"85.5","85.1","80.6",,,,
"Millwood, Kevin","119154","90.6","91.1","88.8","84.7","82.6","72.9","83.7",,,
"Dempster, Ryan","133225","91.1","91.1","91.9","85.1",,,"82",,,
"Pelfrey, Mike","460059","93.2","93.1",,"85.5",,"76.6","83.6",,,
"Correia, Kevin","429781","91.3","91.7","91.9","85.9","90.1","76.7",,,,
"Lannan, John","458709","88.8","88.6",,"81.3","82.2","73.3",,,,
"Hamels, Cole","430935","90.9",,"92",,"80.9","76.2",,,,
"Blackburn, Nick","448147","90.1","91.1","86.9",,"82.4","78.3",,,,
"Pavano, Carl","134321","90.5","91.2",,"83.3","81.6",,"84.6",,,
"Duke, Zach","435043","89.4","89.3",,"82","81.7","74.6",,,,
"Maholm, Paul","430904","90.1","89.5","86","82.3","84.2","75.1",,,,
"Saunders, Joe","434578","91.5","90.8",,"82.5","82.9","76.7",,,,
"Cahill, Trevor","502239","92.1","89.9",,"84.3","80.7","79.9",,,,
"Nolasco, Ricky","445060","92.3","89.8","92","84.2","85.9","75.8","85",,,
"Romero, Ricky","460069","92.8","91.5","90.4","82.8","84.4","77.5",,,,
"De La Rosa, Jorge","407822","94.1","94.1","85.5","86","85.4","76.3","84.7",,,
"Scherzer, Max","453286","94.3",,,"85.5","84.9",,,,,
"Floyd, Gavin","425856","92.4","92.2","86.5",,"84.8","80.3",,,,
"Hernandez, Livan","115817","85.1","85.4",,"80.6","78.1","66.5",,,,
"Pineiro, Joel","334492","88.9","89.5",,"85.6","83.4","78",,,,
"Penny, Brad","207267","94.8","94.3",,,"86.7","78.9","86.9",,,
"Niemann, Jeff","435298","92.1","92.1","91.4","83.5","83.3","77.3","82",,,
"Kershaw, Clayton","477132","94.7",,,"81.5","83.1","72.8",,,,
"Cueto, Johnny","456501","93.5","93","87.3","86.8","84.8",,,,,
"Sánchez, Jonathan","456043","92.2","92.4",,"81.9","83.9",,,,,
"Lackey, John","407793","92.2","91.9","83.1","82.2","84.9","79.3",,,,
"Hammel, Jason","434628","92.8","92.7",,"85","84.9","77.4",,,,
"Oswalt, Roy","400061","93.8","93.2","85","79.3","84.1","70.8",,,,
"Anderson, Brett","474463","93.4","92.9",,"84.2","84.4","77.3",,,,
"Chamberlain, Joba","501955","93.1","90.8",,"85","82.8","77.9",,,,
"Porcello, Rick","519144","92.5","91.2",,"81.8","81.6","76.8",,,,
"Zambrano, Carlos","407296","91.4","91.8","90.6","82.5",,"70.2","85",,,
"Suppan, Jeff","122987","87.5","88.1","84.2",,"81.1","73.4",,,,
"Ohlendorf, Ross","456027","91.8","91.6",,"81.2","82.2","72.4",,,,
"Tallet, Brian","425226","89.7","89.6",,"87.2","83.4","80.5",,,,
"Kazmir, Scott","431148","92.8","91.7",,"81.8","79.7",,,,,
"Washburn, Jarrod","132220","89","88.1","87.7","78.8","81.9","70.1",,,,
"Carpenter, Chris","112020","93.6","93.6","88.3",,"86.3","75.5",,,,
"Richard, Clayton","453385","92.4","91.4",,"85.8","83.4","77.6",,,,
"Happ, J.A.","457918","90.3","91.4",,"83.1","80.8","73.8",,,,
"Lilly, Ted","150404","88","87.2",,"82.5","79.2","70.8",,,,
"Volstad, Chris","458690","92.1","92.4",,"82.8","84.2","79.7",,,,
