"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Verlander, Justin","434378","94.9","95.7",,"84.8","86.2","79.5",,,,
"Shields, James","448306","93","92.8","90.2",,"85.8","80.4",,,,
"Peavy, Jake","408241","91.3","91.6","86.7","84.5","84","80.5",,,,
"Gallardo, Yovani","451596","92.3","92.4","90.9","87.9","87.6","80.2",,,,
"Kershaw, Clayton","477132","93.8",,,"86","85.4","74.4",,,,
"Wilson, C.J.","450351","92","92.3","89.7","84.9","85.8","78.9",,,,
"Cueto, Johnny","456501","93.3","93.2","89","83.4","84.1","75",,,,
"Lester, Jon","452657","92.9","92.6","90.5",,"86.4","76.6",,,,
"Masterson, Justin","475416","93.5","92.3",,"83","86.3",,,,,
"Greinke, Zack","425844","92.6","93.1","89","83.4","86.2","73.9",,,,
"Kennedy, Ian","453178","90.3","89.8","86.1","87.8","80.3","78.3",,,,
"Cain, Matt","430912","91.7","91.4",,"86.8","86.3","78.3",,,,
"Kuroda, Hiroki","493133","91.9","92.5",,"84.2",,"76.9","86.8",,,
"Bailey, Homer","456701","93.2","92.5",,"87.9","86.2","78.6",,,,
"Price, David","456034","96.3","96","89.8",,"84.9","79.6",,,,
"Hernández, Félix","433587","93","92.7","92.9","85.9","89.3","81.9",,,,
"Dickey, R.A.","285079","84",,,,,,,"77.8",,
"Hamels, Cole","430935","91.4",,"88.6",,"83.8","76.2",,,,
"Lincecum, Tim","453311","91","90.8",,"84","83.8","78",,,,
"Vargas, Jason","450306","88.5","88.5","84.6",,"80.6","76",,,,
"Scherzer, Max","453286","94.9",,"92.8","86.5","86","78.7",,,,
"Bumgarner, Madison","518516","91.7","91.3","88.1","88.3","84.6","76.3",,,,
"Harrison, Matt","457448","92.8","92.6","86.7",,"83.2","79.4",,,,
"Latos, Mat","502009","93.6","92.8","93.2","85.5","84.2","79",,,,
"Hughes, Phil","461833","92.7","92.3","87","81.5","84.6","75.2",,,,
"Gonzalez, Gio","461829","94","93.3",,,"85.2","80.3",,,,
"Rodriguez, Wandy","434643","90","89.6","90.8",,"84.3","76.8",,,,
"Volquez, Edinson","450172","94.2","94.3",,,"84.2","79.8",,,,
"Harrell, Lucas","449173","92.1","93","88.3","90","83.5","84.1",,,,
"Cahill, Trevor","502239","90.4","89.7",,"86.4","81.3","79.4",,,,
"Darvish, Yu","506433","93.3","93.3","90.3",,,"70.2","87.7",,"81.9",
"Richard, Clayton","453385","91.9","90.8",,"86.5","85.3","81.6",,,,
"Chen, Wei-Yin","612672","91.5","91.2",,"80.9","84.6","71.7",,,,
"Lohse, Kyle","346798","90.2","90",,"84.3","80.8","74.4",,,,
"Chen, Bruce","136600","88","86.1",,"82.6","77.5","73.8",,,,
"Lee, Cliff","424324","92.3","92.2","87.3","80.8","85.5","74.8",,,,
"Zimmermann, Jordan","519455","94.5","94",,"87.1","87.2","78.4",,,,
"Wainwright, Adam","425794","90.5","90.6","87.1",,"84.1","74.1",,,,
"Jiménez, Ubaldo","434622","92.9","93.3",,"83.3",,"77.3","84.6",,,
"Harang, Aaron","421685","90","90.3",,"82.4","82.9","73.6",,,,
"Romero, Ricky","460069","92","91.4","91.5",,"83.6","77.5",,,,
"Buehrle, Mark","279824","85.5","85","80",,"78.8","71.6",,,,
"Sánchez, Aníbal","434671","92.5","92.5","92.4","86.2","83.8","78.8","85.4",,,
"Zito, Barry","217096","84.4","84.3","80.7","78.2","75.5","71.8",,,,
"Burnett, A.J.","150359","93","92.9",,,"88.1","82.2",,,,
"Vogelsong, Ryan","285064","91.4","91.2",,"88.4","83.7","76.9",,,,
"Milone, Tommy","543548","88","88","85.9",,"81.1","76.6",,,,
"Sabathia, CC","282332","93.1","92.6",,"81.7","86.6","77.8",,,,
"Niese, Jonathon","477003","91.1","90.3","88",,"84","74.9",,,,
"Moore, Matt","519043","95","95.1",,,"86.1","82.8",,,,
"Sale, Chris","519242","94.4","92.3",,"79.1","83.1",,,,,
"Miley, Wade","489119","91.8","91.2",,"82.1","81.5","76.4",,,,
"Johnson, Josh","435178","93.4","93.5",,"87.5","87.7","79.1",,,,
"Hochevar, Luke","460024","93.2","93.1","88.6","85.3","85.4","78.6",,,,
"Lynn, Lance","458681","93.7","92.7",,"87.7","84.7","79.8",,,,
"Hellickson, Jeremy","476451","91.8","91.7","89.1",,"80.3","78.2",,,,
"Capuano, Chris","425626","85.4","88.5","84.8","82","78.3","75.4",,,,
"Jackson, Edwin","429719","94","94",,"86.3","86.8","79.3",,,,
"Maholm, Paul","430904","88.4","87.7","83.8","80.4","81.4","73",,,,
"Arroyo, Bronson","276520","86.6","87.5","85","76.4","78.5","70.4",,,,
"Nolasco, Ricky","445060","90.6","90.5","88.7","83.7",,"75.2","81.4",,,
"Blanton, Joe","430599","91.1","90.9","86.9","84","83.9","78.1",,,,
"Hanson, Tommy","462102","90.2",,,"81.4","80.7","72.5",,,,
"Buchholz, Clay","453329","92.8","92.5","89.9",,"80.7","77.8","86",,,
"Guthrie, Jeremy","425386","93.3","93.4","91.6","85.1","85.3","75.9",,,,
"Doubront, Félix","467094","93.5","93","88",,"86","76.7",,,,
"Alvarez, Henderson","506693","93.9","93.3",,"85.3","86.7","73.7",,,,
"Weaver, Jered","450308","88.6","88","88.6","82.1","79.9","72",,,,
"Santana, Ervin","429722","92.2","93.1",,"83.3","85.6",,,,,
"Haren, Dan","429717","89","89.2","85.1",,,"76.5","84",,,
"Minor, Mike","501985","90.8","91.3",,"83.3","84.2","79",,,,
"Parker, Jarrod","519105","93.1","92.8",,"83.5","81.5","75.6",,,,
"Porcello, Rick","519144","93","92.4",,"85.8","84","79.3",,,,
"Norris, Bud","502032","92.4","92.4","92.9","84.8","85.7","67.1",,,,
"McDonald, James","457428","92.4","92.3",,"80.1","82.7","76.7",,,,
"Samardzija, Jeff","502188","95.8","95.5","92.1","85.2",,"77.7","86.5",,,
"Holland, Derek","502706","93.9","93.6",,"82.8","84.9","77",,,,
"Floyd, Gavin","425856","92.1","92.3","86.3",,"86.3","80.5",,,,
"Dempster, Ryan","133225","90.1","90.2","88.2","85.2",,,"82",,,
"Liriano, Francisco","434538","93.9","93.6",,"86.3","86.4","77.1",,,,
"Saunders, Joe","434578","89.8","89",,,"80.6","75.1",,,,
"Leake, Mike","502190","90.4","90.2","88.9","81.3","84.5","78.1",,,,
"Wolf, Randy","150116","89","88.8","85.2","81.8","78.8","68.9",,,,
