"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Verlander, Justin","434378","95.5","96.1",,"86.3","86.9","79.8",,,,
"Haren, Dan","429717","90.5","90.5","85.8",,,"78.7","85.8",,,
"Weaver, Jered","450308","89.8","89.1","89.6","80.1","79.2","71.9",,,,
"Price, David","456034","95.4","95.5","89.5","91.4","83.8","79",,,,
"Hernández, Félix","433587","94","93.7","94.2","87","89.8","82.2",,,,
"Wilson, C.J.","450351","91.4","91.7","87.9","83.7","84.6","77.6",,,,
"Carpenter, Chris","112020","93.6","92.7","88.3",,"86.2","75.3",,,,
"Sabathia, CC","282332","94.6","93.9",,"82.1","87.3",,,,,
"Lincecum, Tim","453311","92.9","92.3",,"85.7","84.4","79.3",,,,
"Shields, James","448306","91.6","91.4","87.2","88.3","84.5","78.2",,,,
"Dempster, Ryan","133225","90.7","90.7","88.3","85.5",,,"82.2",,,
"Cain, Matt","430912","91.8","91.6",,"86.5","86.3","78.4",,,,
"Kershaw, Clayton","477132","94",,,"84.3","83.1","74.4",,,,
"Halladay, Roy","136880",,"92.5","91.4",,"83.8","77.5","88.8",,,
"Gallardo, Yovani","451596","93.2","93.5",,"87.8","85.8","81.2",,,,
"Hudson, Daniel","543339","93.8","93.9",,"88.1","84.2",,,,,
"Masterson, Justin","475416","94","92.9",,"83.6","85.5",,,,,
"Santana, Ervin","429722","93.4","92.6",,"82.8","86.4",,,,,
"Kennedy, Ian","453178","90.8","90.9",,"86.2","81.8","78",,,,
"Gonzalez, Gio","461829","93.4","92.7",,,"84.4","80.6",,,,
"Lee, Cliff","424324","92","92.2","86.9","80.8","85","75.5",,,,
"Pavano, Carl","134321","89.3","89.6",,"83.3","81.1",,"84.5",,,
"Cahill, Trevor","502239","90.9","89.6",,"84.9","81","79.3",,,,
"Wolf, Randy","150116","89","88.9","85.7","83.5","79.1","68.2",,,,
"Romero, Ricky","460069","92.6","92","92.4","85.5","85.3","77.6",,,,
"Scherzer, Max","453286","93.7",,"91.1","83.2","83",,,,,
"Myers, Brett","408206","89","88.7","88.8","82.8","83.4","75.8",,,,
"Guthrie, Jeremy","425386","93.1","93.1","90.9","83.6","84.1","74.1",,,,
"Vargas, Jason","450306","87.7","87.9","84.4",,"80.5","74.4",,,,
"Jiménez, Ubaldo","434622","94.3","94","93.8","83.7","90.4","76.5","87",,,
"Jackson, Edwin","429719","95.1","95.1",,"87.9","87.4","81.2",,,,
"Billingsley, Chad","451532","92.1","91.6","88","77.5","85.5","68.6",,,,
"Lowe, Derek","117955",,"88.5","86","80.9","83.7",,,,,
"Saunders, Joe","434578","90.3","89.8",,"82.9","81.7","76.5",,,,
"Lewis, Colby","407890","89.4","89.2","86.6","84.3","83.4","76.7",,,,
"Holland, Derek","502706","95.8","94.8",,"83.7","85.8","76.2",,,,
"Sánchez, Aníbal","434671","92.3","92.5","91.7","85.6","87.7","75.9","83.9",,,
"Pelfrey, Mike","460059","92.7","92.6",,"85.3",,"76.6","84.8",,,
"Hudson, Tim","218596","90.8","91","85.4",,,"76.6","82.8",,,
"Kuroda, Hiroki","493133","92.7","92.6",,"84.9",,"79.5","87.5",,,
"Fister, Doug","450729","90.4","90.5","87.1","88.8","83.4","75.7",,,,
"Burnett, A.J.","150359","93.2","93.4",,,"88.8","83.1",,,,
"Lester, Jon","452657","93.3","92.7","89.3",,"85.3","76",,,,
"Garza, Matt","490063","94.4","94.2",,"86.3","86.1","76.3",,,,
"Bumgarner, Madison","518516","92.4","91.6","88","89.7","84","77.3",,,,
"Marcum, Shaun","451788","87.6","87.1","85.2","80.5","79.9","72.1",,,,
"Chacín, Jhoulys","468504","91.8","90.9","92","83.3","84.8","78.7",,,,
"Buehrle, Mark","279824","85.7","85.4","81.9",,"79.2","72.5",,,,
"Latos, Mat","502009","93.7","92.7","93.5","83.9","83.2","78","83.2",,,
"Hamels, Cole","430935","91.9","92.6","89.1",,"84","76.7",,,,
"Rodriguez, Wandy","434643","89.9","89.4","89.4",,"83.8","76",,,,
"Nolasco, Ricky","445060","91.1","91","90.8","84.2","84.5","75.5","83",,,
"Norris, Bud","502032","93.2","93.2","92.9","86.7","83.7",,,,,
"Morrow, Brandon","453344","94.6","93.3","92.8","88.4",,"81.8","86.8",,,
"Arroyo, Bronson","276520","87.1","87.3","83.6","75.5","79","70.1",,,,
"Hochevar, Luke","460024","93.3","93.2","89.1","85.3","82.3","77.9",,,,
"Dickey, R.A.","285079","84.7",,,,,,,"77",,
"Westbrook, Jake","150414","90.6","90.6","86.3","86.5","80.1","79.5","84.3",,,
"Harrison, Matt","457448","93.6","93.1","87.2",,"83.7","78.1",,,,
"Hernandez, Roberto","433584","93.2","93",,"86.7","86.2",,,,,
"Stauffer, Tim","431162","91.3","90.8",,"86.4","80.9","77.3",,,,
"Lilly, Ted","150404","88","87.8",,"83.1","79.7","70.8",,,,
"Beckett, Josh","277417","93.6","93.7","91",,"89.1","77.9",,,,
"Floyd, Gavin","425856","91.9","91.6","86.2",,"85.3","79.3",,,,
"Vazquez, Javier","134320","91","90.9",,"82.7","79.9","73.5",,,,
"García, Jaime","448802","90.2","90.3","90","86.1","83.3","73.4",,,,
"Happ, J.A.","457918","90.7","90.4",,"84.2","82.3","76.7",,,,
"Penny, Brad","207267","93.4","92.6","92",,"89.3","78.3","86.8",,,
"Davis, Wade","451584","92","90.2","91.3","86.3","83.8","79.2",,,,
"Francis, Jeff","433585","84.2","85.2",,"83.5","76.6","68.5",,,,
"Capuano, Chris","425626","85.7","88.4","85.7","80.4","78.9",,,,,
"Lannan, John","458709","90","90.3",,"81.4","84.8","75.1",,,,
"Vogelsong, Ryan","285064","92.2","91.7",,"88.2","84.2","77.1",,,,
"McDonald, James","457428","93.3","93.1",,"81","82","76.8",,,,
"Porcello, Rick","519144","91","90.4",,"84.1","81.4","76.4",,,,
"Lackey, John","407793","92.1","92.2","86.8","85.8","84.8","79.8",,,,
"Greinke, Zack","425844","93.1","93.1","92.9","84.5","85.5","72.9",,,,
"Lohse, Kyle","346798","89.8","89.9",,"83.9","80.1","74.8",,,,
"Hellickson, Jeremy","476451","91.4","91.7","89.6",,"80.6","76",,,,
"Harang, Aaron","421685","90.3","90.5",,"82.7","83","75.1",,,,
"Ogando, Alexi","468396","95.8","94.9","95.7","81.9","86.7",,,,,
"Danks, John","433579","92","91.6","88.9",,"83.9","77.6",,,,
"Morton, Charlie","450203","91.7","91.7","87.7",,,"79","83.9",,,
"Hammel, Jason","434628","93.5","93.6",,"84.8","86.9","78",,,,
"Pineda, Michael","501381","95.3","95.1","95.2","84.6","88",,,,,
"Hernandez, Livan","115817","84.3","84.5",,"79.5","78.2","66.8",,,,
"Duensing, Brian","488846","92","91.8",,"83.8","84.6","74.2",,,,
"Narveson, Chris","429780","88.5","88.3","83.3",,"81","73.7",,,,
"Gee, Dillon","518716","90.1","90.4","87","82.3","83.1","73.9",,,,
